Maintainer username,Sponsorship amount in USD,REMARKS
ArnavK-09,850,"Weekly scores: [3 (07/30-08/05), 3 (08/06-08/12), 3 (08/13-08/19), 3 (08/20-08/26)]"
ShiboSoftwareDev,950,"Weekly scores: [3 (07/30-08/05), 3 (08/06-08/12), 3 (08/13-08/19), 0 (08/20-08/26)]"
techmannih,200,"Weekly scores: [1 (07/30-08/05), 2 (08/06-08/12), 2 (08/13-08/19), 2 (08/20-08/26)]"
Abse2001,650,"Weekly scores: [3 (07/30-08/05), 3 (08/06-08/12), 3 (08/13-08/19), 0 (08/20-08/26)]"
MustafaMulla29,200,"Weekly scores: [2 (07/30-08/05), 2 (08/06-08/12), 2 (08/13-08/19), 0 (08/20-08/26)]"
