Maintainer username,Sponsorship amount in USD,REMARKS
Abse2001,300,"Weekly scores: [0 (08/27-09/02), 3 (09/03-09/09)]"
AnasSarkiz,15,"Weekly scores: [1 (08/27-09/02), 0 (09/03-09/09)]"
ArnavK-09,1000,"Weekly scores: [3 (08/27-09/02), 3 (09/03-09/09)]"
Ayushjhawar8,5,"Weekly scores: [0 (08/27-09/02), 0 (09/03-09/09)]"
MustafaMulla29,200,"Weekly scores: [2 (08/27-09/02), 2 (09/03-09/09)]"
ShiboSoftwareDev,1000,"Weekly scores: [3 (08/27-09/02), 3 (09/03-09/09)]"
baeoc,75,"Weekly scores: [2 (08/27-09/02), 0 (09/03-09/09)]"
raykholo,15,"Weekly scores: [0 (08/27-09/02), 1 (09/03-09/09)]"
techmannih,200,"Weekly scores: [2 (08/27-09/02), 2 (09/03-09/09)]"
