Maintainer username,Sponsorship amount in USD,REMARKS
Abse2001,2000,"Weekly scores: [3 (03/31-04/06), 3 (04/07-04/13), 3 (04/14-04/20), 3 (04/21-04/27)]"
AnasSarkiz,1550,"Weekly scores: [3 (03/31-04/06), 3 (04/07-04/13), 3 (04/14-04/20), 3 (04/21-04/27)]"
Sang-it,30,"Weekly scores: [0 (03/31-04/06), 0 (04/07-04/13), 0 (04/14-04/20), 1 (04/21-04/27)]"
ShiboSoftwareDev,2700,"Weekly scores: [3 (03/31-04/06), 3 (04/07-04/13), 3 (04/14-04/20), 3 (04/21-04/27)]"
mohan-bee,250,"Weekly scores: [0 (03/31-04/06), 2 (04/07-04/13), 2 (04/14-04/20), 2 (04/21-04/27)]"
rushabhcodes,250,"Weekly scores: [2 (03/31-04/06), 2 (04/07-04/13), 2 (04/14-04/20), 2 (04/21-04/27)]"
techmannih,250,"Weekly scores: [0 (03/31-04/06), 2 (04/07-04/13), 2 (04/14-04/20), 2 (04/21-04/27)]"
techmannih2,30,"Weekly scores: [1 (03/31-04/06), 0 (04/07-04/13), 1 (04/14-04/20), 0 (04/21-04/27)]"
