Maintainer username,Sponsorship amount in USD,REMARKS
Abse2001,225,"Weekly scores: [2 (05/28-06/03), 1 (06/04-06/10), 2 (06/11-06/17), 2 (06/18-06/24)]"
Anshgrover23,105,"Weekly scores: [2 (05/28-06/03), 0 (06/04-06/10), 1 (06/11-06/17), 2 (06/18-06/24)]"
ArnavK-09,600,"Weekly scores: [3 (05/28-06/03), 2 (06/04-06/10), 3 (06/11-06/17), 3 (06/18-06/24)]"
MustafaMulla29,22.5,"Weekly scores: [0 (05/28-06/03), 0 (06/04-06/10), 0 (06/11-06/17), 1 (06/18-06/24)]"
ShiboSoftwareDev,600,"Weekly scores: [3 (05/28-06/03), 3 (06/04-06/10), 2 (06/11-06/17), 3 (06/18-06/24)]"
techmannih,600,"Weekly scores: [3 (05/28-06/03), 3 (06/04-06/10), 3 (06/11-06/17), 3 (06/18-06/24)]"
