Maintainer username,Sponsorship amount in USD
mohan-bee,900
ShiboSoftwareDev,2000
anil08607,500
hrithik18k,75
KrishnaX12,30
rushabhcodes,600
GokulPandi-M,30
Abse2001,1550
AnasSarkiz,1550
Lathikaa-S, 30
