Maintainer username,Sponsorship amount in USD,REMARKS
Abse2001,600,"Weekly scores: [1 (11/26-12/02), 3 (12/03-12/09), 3 (12/10-12/16), 1 (12/17-12/23)]"
AnasSarkiz,120,"Weekly scores: [3 (11/26-12/02), 2 (12/03-12/09), 0 (12/10-12/16), 1 (12/17-12/23)]"
ArnavK-09,1050,"Weekly scores: [2 (11/26-12/02), 3 (12/03-12/09), 3 (12/10-12/16), 3 (12/17-12/23)]"
ShiboSoftwareDev,1550,"Weekly scores: [3 (11/26-12/02), 3 (12/03-12/09), 3 (12/10-12/16), 3 (12/17-12/23)]"
nailoo,120,"Weekly scores: [0 (11/26-12/02), 1 (12/03-12/09), 2 (12/10-12/16), 2 (12/17-12/23)]"
pxlpal,75,"Weekly scores: [1 (11/26-12/02), 0 (12/03-12/09), 1 (12/10-12/16), 1 (12/17-12/23)]"
rushabhcodes,450,"Weekly scores: [2 (11/26-12/02), 3 (12/03-12/09), 2 (12/10-12/16), 2 (12/17-12/23)]"
techmannih,900,"Weekly scores: [3 (11/26-12/02), 3 (12/03-12/09), 3 (12/10-12/16), 3 (12/17-12/23)]"
Asymtode712,45,"Weekly scores: [0 (11/26-12/02), 0 (12/03-12/09), 2 (12/10-12/16), 0 (12/17-12/23)]"
Devesh36,30,"Weekly scores: [0 (11/26-12/02), 1 (12/03-12/09), 0 (12/10-12/16), 0 (12/17-12/23)]"
RaghavArora14,30,"Weekly scores: [0 (11/26-12/02), 1 (12/03-12/09), 0 (12/10-12/16), 0 (12/17-12/23)]"
Anshgrover23,30,"Weekly scores: [1 (11/26-12/02), 0 (12/03-12/09), 0 (12/10-12/16), 0 (12/17-12/23)]"
Heinrich-XIAO,30,"Weekly scores: [1 (11/26-12/02), 0 (12/03-12/09), 0 (12/10-12/16), 0 (12/17-12/23)]"
