Maintainer username,Sponsorship amount in USD,REMARKS
Abse2001,1550,"Weekly scores: [3 (04/28-05/04), 3 (05/05-05/11), 3 (05/12-05/18), 3 (05/19-05/25)]"
AnasSarkiz,1550,"Weekly scores: [3 (04/28-05/04), 3 (05/05-05/11), 3 (05/12-05/18), 3 (05/19-05/25)]"
Msa360,30,"Weekly scores: [0 (04/28-05/04), 0 (05/05-05/11), 0 (05/12-05/18), 1 (05/19-05/25)]"
ShiboSoftwareDev,2000,"Weekly scores: [3 (04/28-05/04), 3 (05/05-05/11), 3 (05/12-05/18), 3 (05/19-05/25)]"
anil08607,30,"Weekly scores: [0 (04/28-05/04), 0 (05/05-05/11), 0 (05/12-05/18), 1 (05/19-05/25)]"
itisrohit,45,"Weekly scores: [0 (04/28-05/04), 0 (05/05-05/11), 0 (05/12-05/18), 2 (05/19-05/25)]"
mohan-bee,450,"Weekly scores: [2 (04/28-05/04), 2 (05/05-05/11), 2 (05/12-05/18), 2 (05/19-05/25)]"
rushabhcodes,450,"Weekly scores: [2 (04/28-05/04), 2 (05/05-05/11), 2 (05/12-05/18), 2 (05/19-05/25)]"
shehaban,30,"Weekly scores: [0 (04/28-05/04), 1 (05/05-05/11), 0 (05/12-05/18), 1 (05/19-05/25)]"
