Maintainer username,Sponsorship amount in USD,REMARKS
Abse2001,1550,"Weekly scores: [3 (06/30-07/06), 3 (07/07-07/13), 3 (07/14-07/20), 3 (07/21-07/27)]"
AnasSarkiz,1550,"Weekly scores: [3 (06/30-07/06), 3 (07/07-07/13), 3 (07/14-07/20), 3 (07/21-07/27)]"
GokulPandi-M,30,"Weekly scores: [0 (06/30-07/06), 1 (07/07-07/13), 0 (07/14-07/20), 1 (07/21-07/27)]"
Hero988,30,"Weekly scores: [0 (06/30-07/06), 0 (07/07-07/13), 0 (07/14-07/20), 1 (07/21-07/27)]"
KrishnaX12,30,"Weekly scores: [0 (06/30-07/06), 0 (07/07-07/13), 0 (07/14-07/20), 1 (07/21-07/27)]"
Lathikaa-S,30,"Weekly scores: [1 (06/30-07/06), 0 (07/07-07/13), 0 (07/14-07/20), 0 (07/21-07/27)]"
Sang-it,45,"Weekly scores: [2 (06/30-07/06), 0 (07/07-07/13), 0 (07/14-07/20), 1 (07/21-07/27)]"
ShiboSoftwareDev,2000,"Weekly scores: [3 (06/30-07/06), 3 (07/07-07/13), 3 (07/14-07/20), 3 (07/21-07/27)]"
anil08607,250,"Weekly scores: [1 (06/30-07/06), 2 (07/07-07/13), 2 (07/14-07/20), 2 (07/21-07/27)]"
itisrohit,30,"Weekly scores: [0 (06/30-07/06), 0 (07/07-07/13), 0 (07/14-07/20), 1 (07/21-07/27)]"
mohan-bee,450,"Weekly scores: [2 (06/30-07/06), 2 (07/07-07/13), 2 (07/14-07/20), 3 (07/21-07/27)]"
rushabhcodes,600,"Weekly scores: [2 (06/30-07/06), 3 (07/07-07/13), 3 (07/14-07/20), 2 (07/21-07/27)]"
vasu-rs,30,"Weekly scores: [0 (06/30-07/06), 0 (07/07-07/13), 0 (07/14-07/20), 1 (07/21-07/27)]"
abdalraof-albarbar,45,"Weekly scores: [2 (06/30-07/06), 1 (07/07-07/13), 0 (07/14-07/20), 0 (07/21-07/27)]"
