Maintainer username,Sponsorship amount in USD,REMARKS
Abse2001,1050,"Weekly scores: [3 (12/31-01/06), 3 (01/07-01/13), 3 (01/14-01/20)]"
AnasSarkiz,900,"Weekly scores: [3 (12/31-01/06), 3 (01/07-01/13), 3 (01/14-01/20)]"
ArnavK-09,1200,"Weekly scores: [3 (12/31-01/06), 3 (01/07-01/13), 3 (01/14-01/20)]"
Heinrich-XIAO,64,"Weekly scores: [0 (12/31-01/06), 1 (01/07-01/13), 0 (01/14-01/20)] | Hardware reimbursement (USB-B Cable and Import Duties): $34.00"
ShiboSoftwareDev,1550,"Weekly scores: [3 (12/31-01/06), 3 (01/07-01/13), 3 (01/14-01/20)]"
rushabhcodes,450,"Weekly scores: [1 (12/31-01/06), 2 (01/07-01/13), 3 (01/14-01/20)]"
techmannih,900,"Weekly scores: [3 (12/31-01/06), 3 (01/07-01/13), 3 (01/14-01/20)]"
shehaban,75,"Weekly scores: [1 (12/31-01/06), 1 (01/07-01/13), 0 (01/14-01/20)]"
