Maintainer username,Sponsorship amount in USD,REMARKS
ArnavK-09,500,"Weekly scores: [0 (06/03-06/09), 2 (06/10-06/16), 3 (06/17-06/23), 3 (06/24-06/30)]"
ShiboSoftwareDev,500,"Weekly scores: [2 (06/03-06/09), 1 (06/10-06/16), 3 (06/17-06/23), 2 (06/24-06/30)]"
techmannih,400,"Weekly scores: [2 (06/03-06/09), 2 (06/10-06/16), 3 (06/17-06/23), 2 (06/24-06/30)]"
Abse2001,250,"Weekly scores: [0 (06/03-06/09), 1 (06/10-06/16), 2 (06/17-06/23), 2 (06/24-06/30)]"
Anshgrover23,300,"Weekly scores: [0 (06/03-06/09), 1 (06/10-06/16), 3 (06/17-06/23), 2 (06/24-06/30)]"
MustafaMulla29,250,"Weekly scores: [0 (06/03-06/09), 0 (06/10-06/16), 2 (06/17-06/23), 1 (06/24-06/30)]"
ricohageman,25,"Weekly scores: [0 (06/03-06/09), 0 (06/10-06/16), 2 (06/17-06/23), 1 (06/24-06/30)]"
