Maintainer username,Sponsorship amount in USD,REMARKS
Abse2001,25,"Weekly scores: [0 (03/26-04/01), 0 (04/02-04/08), 0 (04/09-04/15), 2 (04/16-04/22), 2 (04/23-04/29)]"
ArnavK-09,400,"Weekly scores: [2 (03/26-04/01), 0 (04/02-04/08), 3 (04/09-04/15), 3 (04/16-04/22), 3 (04/23-04/29)]"
ShiboSoftwareDev,25,"Weekly scores: [0 (03/26-04/01), 0 (04/02-04/08), 0 (04/09-04/15), 1 (04/16-04/22), 2 (04/23-04/29)]"
mohan-bee,25,"Weekly scores: [0 (03/26-04/01), 0 (04/02-04/08), 0 (04/09-04/15), 0 (04/16-04/22), 2 (04/23-04/29)]"
dhvll,15,"Weekly scores: [0 (03/26-04/01), 0 (04/02-04/08), 0 (04/09-04/15), 1 (04/16-04/22), 1 (04/23-04/29)]"
MustafaMulla29,50,"Weekly scores: [1 (03/26-04/01), 1 (04/02-04/08), 1 (04/09-04/15), 2 (04/16-04/22), 2 (04/23-04/29)]"
akhilender-bongirwar,15,"Weekly scores: [0 (03/26-04/01), 0 (04/02-04/08), 0 (04/09-04/15), 0 (04/16-04/22), 1 (04/23-04/29)]"
Ayushjhawar8,50,"Weekly scores: [1 (03/26-04/01), 1 (04/02-04/08), 1 (04/09-04/15), 1 (04/16-04/22), 0 (04/23-04/29)]"
techmannih,5,"Weekly scores: [0 (03/26-04/01), 0 (04/02-04/08), 0 (04/09-04/15), 0 (04/16-04/22), 0 (04/23-04/29)]"
Anshgrover23,25,"Weekly scores: [2 (03/26-04/01), 0 (04/02-04/08), 1 (04/09-04/15), 0 (04/16-04/22), 0 (04/23-04/29)]"
divanshu-go,15,"Weekly scores: [0 (03/26-04/01), 0 (04/02-04/08), 1 (04/09-04/15), 0 (04/16-04/22), 0 (04/23-04/29)]"
gurjeetsinghvirdee,5,"Weekly scores: [0 (03/26-04/01), 0 (04/02-04/08), 0 (04/09-04/15), 0 (04/16-04/22), 0 (04/23-04/29)]"
