Maintainer username,Sponsorship amount in USD,REMARKS
Abse2001,1050,"Weekly scores: [3 (01/28-02/03), 3 (02/03-02/09), 3 (02/10-02/16)]"
AnasSarkiz,900,"Weekly scores: [3 (01/28-02/03), 3 (02/03-02/09), 3 (02/10-02/16)]"
ArnavK-09,1200,"Weekly scores: [3 (01/28-02/03), 3 (02/03-02/09), 3 (02/10-02/16)]"
Devesh36,10,"Weekly scores: [0 (01/28-02/03), 0 (02/03-02/09), 0 (02/10-02/16)]"
Heinrich-XIAO,30,"Weekly scores: [1 (01/28-02/03), 0 (02/03-02/09), 0 (02/10-02/16)]"
ShiboSoftwareDev,1550,"Weekly scores: [3 (01/28-02/03), 3 (02/03-02/09), 3 (02/10-02/16)]"
nailoo,250,"Weekly scores: [1 (01/28-02/03), 2 (02/03-02/09), 2 (02/10-02/16)]"
rushabhcodes,750,"Weekly scores: [2 (01/28-02/03), 3 (02/03-02/09), 3 (02/10-02/16)]"
shehaban,75,"Weekly scores: [0 (01/28-02/03), 2 (02/03-02/09), 1 (02/10-02/16)]"
techmannih,900,"Weekly scores: [3 (01/28-02/03), 3 (02/03-02/09), 3 (02/10-02/16)]"
bimakw,30,"Weekly scores: [0 (01/28-02/03), 1 (02/03-02/09), 0 (02/10-02/16)]"
