Maintainer username,Sponsorship amount in USD,REMARKS
Abse2001,650,"Weekly scores: [2 (06/25-07/01), 2 (07/02-07/08), 3 (07/09-07/15), 3 (07/16-07/22), 3 (07/23-07/29)]"
ArnavK-09,800,"Weekly scores: [3 (06/25-07/01), 3 (07/02-07/08), 3 (07/09-07/15), 2 (07/16-07/22), 3 (07/23-07/29)]"
MustafaMulla29,200,"Weekly scores: [1 (06/25-07/01), 1 (07/02-07/08), 2 (07/09-07/15), 2 (07/16-07/22), 2 (07/23-07/29)]"
ShiboSoftwareDev,950,"Weekly scores: [3 (06/25-07/01), 3 (07/02-07/08), 3 (07/09-07/15), 1 (07/16-07/22), 2 (07/23-07/29)]"
techmannih,200,"Weekly scores: [2 (06/25-07/01), 0 (07/02-07/08), 2 (07/09-07/15), 2 (07/16-07/22), 1 (07/23-07/29)]"
ricohageman,25,"Weekly scores: [2 (06/25-07/01), 2 (07/02-07/08), 0 (07/09-07/15), 0 (07/16-07/22), 0 (07/23-07/29)]"
Anshgrover23,25,"Weekly scores: [2 (06/25-07/01), 1 (07/02-07/08), 0 (07/09-07/15), 0 (07/16-07/22), 0 (07/23-07/29)]"
