Maintainer username,Sponsorship amount in USD,REMARKS
Abse2001,1550,"Weekly scores: [3 (07/28-08/03), 3 (08/04-08/10)]"
AnasSarkiz,1550,"Weekly scores: [3 (07/28-08/03), 3 (08/04-08/10)]"
ArnavK-09,30,"Weekly scores: [0 (07/28-08/03), 1 (08/04-08/10)]"
GokulPandi-M,30,"Weekly scores: [1 (07/28-08/03), 0 (08/04-08/10)]"
KrishnaX12,30,"Weekly scores: [1 (07/28-08/03), 0 (08/04-08/10)]"
Sang-it,75,"Weekly scores: [1 (07/28-08/03), 1 (08/04-08/10)]"
ShiboSoftwareDev,2000,"Weekly scores: [3 (07/28-08/03), 3 (08/04-08/10)]"
addibble,120,"Weekly scores: [1 (07/28-08/03), 2 (08/04-08/10)]"
anil08607,250,"Weekly scores: [2 (07/28-08/03), 2 (08/04-08/10)]"
hrithik18k,30,"Weekly scores: [0 (07/28-08/03), 1 (08/04-08/10)]"
mohan-bee,900,"Weekly scores: [3 (07/28-08/03), 3 (08/04-08/10)]"
rushabhcodes,600,"Weekly scores: [3 (07/28-08/03), 2 (08/04-08/10)]"
zkasuran,10,"Weekly scores: [0 (07/28-08/03), 0 (08/04-08/10)]"
Hero988,75,"Weekly scores: [2 (07/28-08/03), 0 (08/04-08/10)]"
astrimid,30,"Weekly scores: [1 (07/28-08/03), 0 (08/04-08/10)]"
