Maintainer username,Sponsorship amount in USD,REMARKS
kom-senapati,50,"Past 4 weeks stars: [1, 1, 2, 1]"
Abse2001,50,"Past 4 weeks stars: [2, 1, 0, 1]"
techmannih,400,"Past 4 weeks stars: [2, 3, 3, 1]"
Anshgrover23,150,"Past 4 weeks stars: [1, 3, 2, 1]"
MustafaMulla29,5,"Past 4 weeks stars: [1, 0, 0, 0]"
AnasSarkiz,5,"Past 4 weeks stars: [1, 0, 0, 0]"
ShiboSoftwareDev,400,"Past 4 weeks stars: [2, 3, 3, 3]"
ArnavK-09,150,"Past 4 weeks stars: [1, 2, 1, 2]"
Ayushjhawar8,50,"Past 4 weeks stars: [1, 0, 1, 0]"
Rishikesh63,5,"Past 4 weeks stars: [0, 0, 1, 0]"
