Maintainer username,Sponsorship amount in USD,REMARKS
0hmX,75,"Weekly scores: [2 (10/01-10/07), 1 (10/08-10/14), 0 (10/15-10/21)]"
Abse2001,800,"Weekly scores: [1 (10/01-10/07), 3 (10/08-10/14), 3 (10/15-10/21)]"
ArnavK-09,950,"Weekly scores: [3 (10/01-10/07), 2 (10/08-10/14), 3 (10/15-10/21)]"
Asymtode712,75,"Weekly scores: [0 (10/01-10/07), 1 (10/08-10/14), 1 (10/15-10/21)]"
Ayushjhawar8,75,"Weekly scores: [1 (10/01-10/07), 1 (10/08-10/14), 2 (10/15-10/21)]"
Excellencedev,75,"Weekly scores: [1 (10/01-10/07), 0 (10/08-10/14), 1 (10/15-10/21)]"
Heinrich-XIAO,15,"Weekly scores: [0 (10/01-10/07), 0 (10/08-10/14), 1 (10/15-10/21)]"
MustafaMulla29,650,"Weekly scores: [2 (10/01-10/07), 3 (10/08-10/14), 3 (10/15-10/21)]"
Quanta-Naut,15,"Weekly scores: [0 (10/01-10/07), 1 (10/08-10/14), 0 (10/15-10/21)]"
ShiboSoftwareDev,950,"Weekly scores: [3 (10/01-10/07), 3 (10/08-10/14), 2 (10/15-10/21)]"
fctpe,15,"Weekly scores: [0 (10/01-10/07), 0 (10/08-10/14), 1 (10/15-10/21)]"
nailoo,75,"Weekly scores: [1 (10/01-10/07), 1 (10/08-10/14), 0 (10/15-10/21)]"
techmannih,200,"Weekly scores: [1 (10/01-10/07), 2 (10/08-10/14), 2 (10/15-10/21)]"
Omar8345,15,"Weekly scores: [1 (10/01-10/07), 0 (10/08-10/14), 0 (10/15-10/21)]"
jayantpranjal0,75,"Weekly scores: [1 (10/01-10/07), 1 (10/08-10/14), 0 (10/15-10/21)]"
pxlpal,75,"Weekly scores: [2 (10/01-10/07), 1 (10/08-10/14), 0 (10/15-10/21)]"
raykholo,15,"Weekly scores: [0 (10/01-10/07), 1 (10/08-10/14), 0 (10/15-10/21)]"
