Maintainer username,Sponsorship amount in USD,REMARKS
0hmX,120,"Weekly scores: [1 (10/29-11/04), 1 (11/05-11/11), 2 (11/12-11/18), 2 (11/19-11/25)]"
Abse2001,900,"Weekly scores: [0 (10/29-11/04), 3 (11/05-11/11), 3 (11/12-11/18), 3 (11/19-11/25)]"
AnasSarkiz,30,"Weekly scores: [0 (10/29-11/04), 0 (11/05-11/11), 0 (11/12-11/18), 1 (11/19-11/25)]"
ArnavK-09,1050,"Weekly scores: [2 (10/29-11/04), 3 (11/05-11/11), 3 (11/12-11/18), 3 (11/19-11/25)]"
Ayushjhawar8,250,"Weekly scores: [2 (10/29-11/04), 2 (11/05-11/11), 2 (11/12-11/18), 2 (11/19-11/25)]"
Heinrich-XIAO,30,"Weekly scores: [0 (10/29-11/04), 0 (11/05-11/11), 0 (11/12-11/18), 1 (11/19-11/25)]"
MustafaMulla29,230,"Weekly scores: [0 (10/29-11/04), 0 (11/05-11/11), 0 (11/12-11/18), 1 (11/19-11/25)]"
RaghavArora14,75,"Weekly scores: [1 (10/29-11/04), 2 (11/05-11/11), 1 (11/12-11/18), 1 (11/19-11/25)]"
ShiboSoftwareDev,1550,"Weekly scores: [3 (10/29-11/04), 3 (11/05-11/11), 3 (11/12-11/18), 3 (11/19-11/25)]"
baeoc,75,"Weekly scores: [2 (10/29-11/04), 0 (11/05-11/11), 2 (11/12-11/18), 0 (11/19-11/25)]"
nailoo,250,"Weekly scores: [2 (10/29-11/04), 2 (11/05-11/11), 2 (11/12-11/18), 0 (11/19-11/25)]"
pxlpal,75,"Weekly scores: [0 (10/29-11/04), 1 (11/05-11/11), 1 (11/12-11/18), 1 (11/19-11/25)]"
rushabhcodes,250,"Weekly scores: [2 (10/29-11/04), 2 (11/05-11/11), 2 (11/12-11/18), 2 (11/19-11/25)]"
techmannih,900,"Weekly scores: [3 (10/29-11/04), 3 (11/05-11/11), 3 (11/12-11/18), 3 (11/19-11/25)]"
Enity300,30,"Weekly scores: [0 (10/29-11/04), 1 (11/05-11/11), 0 (11/12-11/18), 0 (11/19-11/25)]"
Asymtode712,45,"Weekly scores: [1 (10/29-11/04), 2 (11/05-11/11), 0 (11/12-11/18), 0 (11/19-11/25)]"
Anshgrover23,30,"Weekly scores: [1 (10/29-11/04), 0 (11/05-11/11), 0 (11/12-11/18), 0 (11/19-11/25)]"
