Maintainer username,Sponsorship amount in USD,REMARKS
Abse2001,1400,"Weekly scores: [3 (05/26-06/01), 3 (06/02-06/08), 3 (06/09-06/15), 3 (06/16-06/22), 2 (06/23-06/29)]"
AnasSarkiz,1550,"Weekly scores: [3 (05/26-06/01), 3 (06/02-06/08), 3 (06/09-06/15), 3 (06/16-06/22), 3 (06/23-06/29)]"
Lathikaa-S,75,"Weekly scores: [1 (05/26-06/01), 0 (06/02-06/08), 1 (06/09-06/15), 1 (06/16-06/22), 0 (06/23-06/29)]"
Sang-it,250,"Weekly scores: [2 (05/26-06/01), 2 (06/02-06/08), 2 (06/09-06/15), 1 (06/16-06/22), 2 (06/23-06/29)]"
ShiboSoftwareDev,2000,"Weekly scores: [3 (05/26-06/01), 3 (06/02-06/08), 3 (06/09-06/15), 3 (06/16-06/22), 3 (06/23-06/29)]"
anil08607,250,"Weekly scores: [2 (05/26-06/01), 2 (06/02-06/08), 2 (06/09-06/15), 2 (06/16-06/22), 0 (06/23-06/29)]"
mohan-bee,450,"Weekly scores: [2 (05/26-06/01), 2 (06/02-06/08), 2 (06/09-06/15), 1 (06/16-06/22), 2 (06/23-06/29)]"
r-bt,30,"Weekly scores: [0 (05/26-06/01), 0 (06/02-06/08), 0 (06/09-06/15), 1 (06/16-06/22), 0 (06/23-06/29)]"
rushabhcodes,750,"Weekly scores: [3 (05/26-06/01), 3 (06/02-06/08), 3 (06/09-06/15), 3 (06/16-06/22), 2 (06/23-06/29)]"
technologyet31-create,30,"Weekly scores: [0 (05/26-06/01), 0 (06/02-06/08), 0 (06/09-06/15), 0 (06/16-06/22), 1 (06/23-06/29)]"
matthewhardern,30,"Weekly scores: [1 (05/26-06/01), 0 (06/02-06/08), 0 (06/09-06/15), 0 (06/16-06/22), 0 (06/23-06/29)]"
